ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
4627,"Trees for Livelihood in Madhya Pradesh, India",Value Network Venture Advisory Services PTE. LTD,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under validation,India,529159,Asia,,2023-06-28,2053-06-27
4621,Shandong Ju County ALM Project,Multiple Proponents,Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,134210,Asia,,2021-01-01,2040-12-31
4616,Shunfeng Erhai Composting project in Yousuo,"Dali Erhai Biological Fertilizer Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.; AMS-III.F.,Under validation,China,57435,Asia,,2022-03-01,2032-02-29
4614,GER Recycled PP Project,"Jiangxi Green Recycling Co.,Ltd.",Waste handling and disposal,,AMS-III.AJ.,Under validation,China,19600,Asia,,2022-01-01,2028-12-31
4612,WEIYUAN COMPOSTING PROJECT,Multiple Proponents,"Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.; AMS-III.F.,Under validation,China,59518,Asia,,2022-01-01,2031-12-31
4605,Hubei Longshen Composting Project,"Hubei Longshen fertilizer Co., Ltd","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.,Under validation,China,59514,Asia,,2022-07-01,2032-06-30
4606,Qinghai Gangcha Improved Grassland Management Project,"Gangcha County Urban and Rural Investment Development Co., Ltd",Agriculture Forestry and Other Land Use,ALM,VM0026,Under validation,China,125862,Asia,,2021-05-31,2061-05-30
4607,KOSHER BLUE CARBON -1,Kosher Climate India Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,VM0033,Under validation,India,75516,Asia,,2023-01-01,2082-12-31
4600,"FST SMALL-SCALE SOLAR POWER PLANT IN KAMPHAENG PHET, THAILAND",FutureTech Solar (Thailand) co. ltd,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Under validation,Thailand,13062,Asia,,2023-07-21,2030-07-20
4601,An Qiu Biogas Utilization Project,"TTCA Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0014,Under validation,China,370000,Asia,,2022-04-28,2032-04-27
4602,"REDD Carbon and Biodiversity Project in Jujuy, North-Western Argentina",VisionNetZero GmbH,Agriculture Forestry and Other Land Use,REDD,VM0009,Under development,Argentina,59733,Latin America,,2023-05-19,2033-05-18
4603,BATIKIPAS BIOGAS PLANT,Batıkipaş Kağıt San. Ve Tic. A.Ş.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0014,Under development,Turkey,179234,Europe,,2022-10-14,2029-10-13
4598,Enhancing Livelihoods of Farmers in Gujarat through Agroforestry Plantations by SHBVM,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-AMS0007,Under development,India,6465,Asia,,2020-08-01,2050-07-31
4588,Nam Houng - 1 Hydro Power Project,"Nam Houng - 1 Hydro Power Co., Ltd",Energy industries (renewable/non-renewable sources),,AMS-I.D.,Under validation,Lao,40515,Asia,,2023-10-01,2030-09-30
4589,Biogas-based Manure Management Program,Dugdh Utpadak Sahkari Sangh Limited (DUSSL),Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.C.; AMS-III.D.,Under validation,India,21140,Asia,,2023-03-31,2030-03-30
4592,Symbiosis Continuous Cover Forest Project,SYMBIOSIS INVESTIMENTOS E PARTICIPAÇÕES S.A.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under validation,Brazil,810396,Latin America,,2020-09-09,2050-09-08
4593,Cycling the Change,Tembici Participações,Transport,,AMS-III.BM,Under development,Brazil,2654,Latin America,,2021-10-11,2031-10-10
4582,Myanmar Kyeeonkyeewa Solar Power Plant Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Under validation,Myanmar,23339,Asia,,2022-12-28,2029-12-27
4583,Myanmar Satoketayar Solar Power Plant Project,"Timing Carbon Asset Management Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Under validation,Myanmar,23014,Asia,,2023-02-07,2030-02-06
4584,A-Thermal General & Hazardous Waste Treatment Plant,A-Thermal Retort Technologies (Pty) Ltd,Waste handling and disposal,,AMS-III.L.,Under development,South Africa,25530,Africa,,2023-09-01,2033-08-31
4585,Better cooking for a better health In Rusizi district - Rwanda,Kiasi Energies,Energy demand,,AMS-III.G.; VMR0006,Under validation,Rwanda,153638,Africa,,2023-05-15,2033-05-14
4587,Boreal Wildlands Forest Carbon Offset Project,The Nature Conservancy of Canada,Agriculture Forestry and Other Land Use,IFM,VM0034,Under validation,Canada,251959,North America,,2022-09-01,2082-08-31
4580,Myanmar Kindar Solar Power Plant Project,"Timing Carbon Asset Management Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Under validation,Myanmar,22402,Asia,,2023-01-18,2030-01-17
4578,Biochar Project-1 by WeAct,WeAct Pty Ltd.,Waste handling and disposal,,VM0044,Under validation,India,22376,Asia,,2023-04-12,2030-04-11
4565,Muyuan Huainan AWMS GHG Mitigation Project in Anhui Province,"Muyuan Foods Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Under validation,China,336687,Asia,,2021-10-26,2031-10-25
4566,Muyuan Suzhou AWMS GHG Mitigation Project in Anhui Province,"Muyuan Foods Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Under validation,China,420060,Asia,,2021-10-18,2031-10-17
4567,Muyuan Handan AWMS GHG Mitigation Project in Hebei Province,"Muyuan Foods Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Under validation,China,126359,Asia,,2021-10-25,2031-10-24
4568,Muyuan Baicheng AWMS GHG Mitigation Project in Jilin Province,"Muyuan Foods Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Under validation,China,552579,Asia,,2021-10-28,2031-10-27
4569,Muyuan Shuangliao AWMS GHG Mitigation Project in Jilin Province,"Muyuan Foods Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Under validation,China,187775,Asia,,2021-10-24,2031-10-23
4570,Muyuan Changchun AWMS GHG Mitigation Project in Jilin Province,"Muyuan Foods Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Under validation,China,149932,Asia,,2021-10-05,2031-10-04
4571,Muyuan Urad AWMS GHG Mitigation Project in Inner Mongolia,"Muyuan Foods Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Under validation,China,120250,Asia,,2021-11-15,2031-11-14
4572,Muyuan Ongniud Banner AWMS GHG Mitigation Project in Inner Mongolia,"Muyuan Foods Co., Ltd.","Livestock, enteric fermentation, and manure management",,ACM0010,Under validation,China,226222,Asia,,2021-08-18,2031-08-17
4573,Muyuan Tongliao AWMS GHG Mitigation Project in Inner Mongolia,"Muyuan Foods Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Under validation,China,663500,Asia,,2021-10-28,2031-10-27
4574,MAHARASHTRA AND GUJARAT INITIATIVE FOR REGENERATIVE AGRICULTURE AND INCOME CREATION,Grow Indigo Private Ltd,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,India,4861245,Asia,,2020-07-15,2040-07-14
4575,Muyuan Hinggan League AWMS GHG Mitigation Project in Inner Mongolia,"Muyuan Foods Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Under validation,China,205275,Asia,,2021-10-24,2031-10-23
4576,AS KOC POLATLI BIOGAS POWER PLANT,Multiple Proponents,Waste handling and disposal,,AM0073,Under validation,Turkey,353565,Middle East,,2022-04-16,2029-04-15
4577,GROUPED ARR PROJECT IN TELANGANA,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,India,35794,Asia,,2020-08-01,2050-07-31
4563,ALLCOT BLUE CARBON MANGROVE PROJECT IN SENEGAL (ABC  Mangrove Senegal),ALLCOT A.G.,Agriculture Forestry and Other Land Use,WRC,VM0033,Under validation,Senegal,74732,Africa,,2022-08-01,2052-07-31
4564,"7.5 MW Waste-to-Energy Power Plant by Goodwatts WTE Jamnagar Private Limited in Gujarat, India",Goodwatts WTE Jamnagar Private Limited,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.E.,Under validation,India,37318,Asia,,2021-11-15,2028-11-14
4559,Anhui Zhujixi CMM Utilization Project,"Huainan Huamei Pushi New Energy Technology Co., Ltd",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Under validation,China,151095,Asia,,2021-12-14,2031-12-13
4561,Shandong Zhucheng ALM Project,Multiple Proponents,Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,173573,Asia,,2021-01-01,2040-12-31
4562,IÇARA LANDFILL GAS PROJECT,UniCarbo Energia e Biogás Ltda.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Under validation,Brazil,134953,Latin America,,2021-10-01,2028-09-30
4558,Xinhangdao AWMS GHG Mitigation Project In Shangqiu City,"Henan Xinhangdao Food Co.,Ltd",Waste handling and disposal,,AMS-III.D.; AMS-III.F.,Under validation,China,61996,,,2021-12-15,2031-12-14
4555,Hunan Fufeng Composting Project,"Hunan Fufeng fertilizer Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.F.,Under validation,China,41213,Asia,,2022-05-01,2032-04-30
4557,Strengthening rural livelihood through carbon finance: Agroforestry practices in Bareilly Forest Circle of Uttar Pradesh,Uttar Pradesh Forest Department,Agriculture Forestry and Other Land Use,ARR,AR-AMS0007,Under validation,India,18382,Asia,,2020-08-28,2050-08-27
4549,Heze Tech-Bank Animal Waste Management Systems (AWMS) GHG Mitigation Project,"Tech-Bank Food Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Under validation,China,136452,Asia,,2021-06-19,2028-06-18
4550,Barka Landfill Gas Recovery Project,OQ Trading Limited,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Under validation,Oman,149186,Middle East,,2022-02-17,2032-02-16
4551,Hubei Badong IFM PROJECT,Multiple Proponents,Agriculture Forestry and Other Land Use,IFM,VM0010,Under validation,China,27123,Asia,,2020-11-01,2040-10-31
4552,UÁKIRY REDD+ AUDD  GROUPED PROJECT,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0015,Under development,Brazil,215021,Latin America,,2021-08-02,2121-08-01
4554,BiodeS Biogas Recovery and Electricity Generation,Pike Carbosur S.A.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.D.,Under validation,Argentina,14399,Latin America,,2022-09-19,2029-09-18
4544,Al Multaqa Landfill Gas Recovery Project,OQ Trading Limited,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Under validation,Oman,103249,Middle East,,2021-11-01,2031-10-31
4545,Sodom Hanba Improved Grassland Management Project,"Inner Mongolia Chengyao Grassland, Forestry and Animal Husbandry Ecological Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0026,Under validation,China,408247,Asia,,2020-08-28,2060-08-27
4546,RECYCLING ROADWAYS FOR CARBON EMISSION REDUCTIONS – RECYCLING & STABILIZING ASSOCIATION OF CALIFORNIA,"Global Emissionairy, LLC",Construction,,VM0039,Under development,United States,30000,North America,,2021-07-06,2028-07-05
4547,RECYCLING ROADWAYS FOR CARBON EMISSION REDUCTIONS – GLOBAL EMISSIONAIRY – U.S. PROJECT #2,"Global Emissionairy, LLC",Construction,,VM0039,Under development,United States,50000,North America,,2021-07-06,2028-07-05
4543,Leconi Agroforestry Project in Haut-Ogooue (LAPHO),AERA Group,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,Gabon ,1054763,Africa,,2023-09-01,2043-08-31
4542,Amazônidas REDD+ AUDD Grouped Project,BRCARBON SERVIÇOS AMBIENTAIS LTDA,Agriculture Forestry and Other Land Use,REDD,VM0015,Under development,Brazil,124528,Latin America,,2023-04-05,2123-04-04
4539,Community-Based Mangrove Conservation and Restoration in Sierra Leone,West Africa Blue,Agriculture Forestry and Other Land Use,ARR; REDD; WRC,VM0033,Under development,Sierra Leone,258000,Africa,,2023-07-01,2073-06-30
4540,THE NAGALAND 4 CHANGE REDD+ PROJECT,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0007,Under development,India,200000,Asia,,2023-04-20,2043-04-19
4541,SUNDARI MANGROVE RESTORATION PROJECT IN THE INDIAN SUNDARBANS,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR; WRC,VM0033,Under validation,India,32618,Asia,,,
4538,The Zambia Project Safe drinking water supply project in Western Zambia,Xpotential Mining Services (Pty) Ltd,Energy demand,,AMS-III.AV.,Under development,Zambia,24371,Africa,,2023-09-01,2030-08-31
4534,Decarbonisation of UK Homes,"Arniston Ltd, trading as Snugg",Energy demand,,VM0008,Under development,United Kingdom,829505,Europe,,,
4535,SHIFT FROM ROAD FREIGHT TO PIPELINE IN TRANSPORTATION OF LIQUID FUELS IN BRAZIL,Logum Logística S.A.,Transport,,AM0110,Under validation,Brazil,92059,Latin America,,2021-08-24,2031-08-23
4531,Reducing Gas Leakages within the Hududgaz Gas Distribution Networks across Uzbekistan,GasGreen Asia LLC,"Fugitive emissions from fuels (solid, oil and gas)",,AM0023,Under validation,Uzbekistan,5179955,Asia,,2023-07-10,2033-07-09
4525,The Republic of the Congo Improved Forest Management Project,Société d'Exploitation Forestière Yuan Dong,Agriculture Forestry and Other Land Use,IFM,VM0010,Under validation,Congo,2657020,Africa,,2020-08-01,2040-07-31
4526,GHG MITIGATION FROM METHANE AVOIDANCE THROUGH ORGANIC DECOMPOSITION OF WASTE,Green Cross Agritech Private Limited,"Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.F.,Under development,India,241577,Asia,,2022-04-16,2032-04-15
4527,basilicata bamboo,Societa' Agricola Bambu’ SRL,Agriculture Forestry and Other Land Use,ALM,AR-AMS0007,Under validation,Italy,1383667,Europe,,2022-06-10,2062-06-09
4528,Sichuan Lizhou Improved Forest Management Project,China Carbon Sinks Holdings Limited,Agriculture Forestry and Other Land Use,IFM,VM0010,Under validation,China,37757,Asia,,2020-06-28,2050-06-27
4529,Shaanxi Fengxian Improved Forest Management Project,China Carbon Sinks Holdings Limited,Agriculture Forestry and Other Land Use,IFM,VM0010,Under validation,China,27812,Asia,,2020-06-28,2050-06-27
4524,Electrify Africa,ARC Ride Limited,Energy industries (renewable/non-renewable sources); Transport,,VM0038,Under development,Kenya,70299,Africa,,2023-01-01,2032-12-31
4518,Qitai Shuifa Improved Grassland Management Project,"Qitai Shuifa Modern Agriculture and Animal Husbandry Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0026,Under validation,China,180008,Asia,,2022-01-05,2052-01-04
4519,TABREED DISTRICT COOLING GROUP PROJECT,NATIONAL CENTRAL COOLING COMPANY PJSC – TABREED,Energy industries (renewable/non-renewable sources),,ACM0002,Under validation,United Arab Emirates,28492,Middle East,,2023-05-23,2030-05-22
4515,Binzhou Jingyang Composting project,"Binzhou Jingyang Biological Fertilizer Co., Ltd","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.; AMS-III.F.,Under validation,China,58509,Asia,,2022-05-01,2032-04-30
4516,Dongzong Sustainable Grassland Management Project,"Tianjin Zhongrui Gefei Technology Services Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0026,Under validation,China,498372,Asia,,2020-07-14,2060-07-13
4517,REVIVE ENRIVONMENT IMPROVED  COOKSTOVE PROJECT IN PAKISTAN,Revive Environment Pvt. Ltd.,Energy demand,,VMR0006,Under validation,Pakistan,373881,,,2023-08-10,2033-08-09
4513,Argentina Gran Chaco Region REDD+ Project,Vista Energy Argentina SAU,Agriculture Forestry and Other Land Use,ARR; REDD,VM0007,Under development,Argentina,49173,Latin America,,2022-12-21,2042-12-20
4499,Liyang 15 MW Low-concentration CMM Power Generation Project,"Beijing Yonder Environmental Energy Technology Co., Ltd",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Under validation,China,484446,,,2022-03-01,2032-02-29
4500,Improved cropland management project in Fan,"Harbin Ruying Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,74250,Asia,,2021-11-01,2041-10-31
4501,Improved cropland management project in Qingfeng,"Harbin Ruying Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,112500,Asia,,2021-11-01,2041-10-31
4502,Improved cropland management project in Jiaoqu,"Harbin Ruying Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,156240,Asia,,2021-11-01,2041-10-31
4503,Improved cropland management project in Zhaozhou,"Harbin Ruying Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,450000,Asia,,2021-11-01,2121-10-31
4504,Improved cropland management project in Keyouqianqi,"Harbin Ruying Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,598500,Asia,,2021-11-01,2041-10-31
4505,Improved cropland management project in Hengshan,"Harbin Ruying Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,119925,Asia,,2021-11-01,2121-10-31
4506,Improved cropland management project in Yuli,"Harbin Ruying Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,155925,Asia,,2021-11-01,2121-10-31
4507,Improved cropland management project in Zhaoyuan,"Harbin Ruying Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,299250,Asia,,2021-11-01,2121-10-31
4508,Weibei Pipeline Associated Gas Recovery Project,"CNOOC China Limited, Zhanjiang Branch","Energy industries (renewable/non-renewable sources); Fugitive emissions from fuels (solid, oil and gas)",,AM0009,Under validation,China,423049,Asia,,2023-04-09,2033-04-08
4509,Brazil Pastureland Regeneration with Native Palm Silvopasture,"Native, a Public Benefit Corporation",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,Brazil,42396,Latin America,,2023-10-01,2043-09-30
4511,Silvador Climate Action,Multiple Proponents,Agriculture Forestry and Other Land Use,IFM,VM0012,Under validation,Romania,12082,Europe,,2020-08-01,2050-07-31
4495,"Working Trees supporting eastern US Silvopasture, Project 1",Working Trees,Agriculture Forestry and Other Land Use,ARR,Methodology Under Development,Under development,United States,1000000,North America,,2022-02-23,2052-02-22
4496,Jiangxi Xinsheng Swine Farm Manure Management System GHG Mitigation Project,"Jinggangshan Xinsheng Agricultural Products Development Co.,Ltd","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Under validation,China,61966,Asia,,2022-02-01,2029-01-31
